SQ_CANDIDATO;NM_CANDIDATO;NM_UE_x;DS_CARGO;SG_PARTIDO;DS_TIPO_BEM_CANDIDATO;DS_BEM_CANDIDATO;VR_BEM_CANDIDATO
250001931661;RODRIGO CALZZETTA FREIRE;BOITUVA;VEREADOR;SOLIDARIEDADE;Depósito bancário em conta corrente no País;Credito em conta Corrente no banco do Brasil;1200,92
250001931380;JACSON GOMES DOS SANTOS;BOITUVA;VEREADOR;UNIÃµO;Veículo automotor terrestre: caminhão, automóvel, moto, etc.;eco sport 2005;24000,00
250001931377;ÃµRCIO PINTO;BOITUVA;VEREADOR;UNIÃµO;Veículo automotor terrestre: caminhão, automóvel, moto, etc.;CARRO VOLKSWAGEN  VOYAGE;32800,00
250001931581;VANILDO DE BARROS;BOITUVA;VEREADOR;CIDADANIA;Veículo automotor terrestre: caminhão, automóvel, moto, etc.;carro;35000,00
250001931581;VANILDO DE BARROS;BOITUVA;VEREADOR;CIDADANIA;Depósito bancário em conta corrente no País;saldo em conta;1400,57
250001931581;VANILDO DE BARROS;BOITUVA;VEREADOR;CIDADANIA;Terreno;lote municipio de boituva;200000,00
250001931581;VANILDO DE BARROS;BOITUVA;VEREADOR;CIDADANIA;Apartamento;municipio de boituva;210820,93
250001931375;NOEMIA GENARO NUNES DE SOUZA;BOITUVA;VEREADOR;UNIÃµO;Depósito bancário em conta corrente no País;NUMERARIO EM MEU PODER EM CONTA BANCÁRIA;166530,00
250001931696;KARLA PATRICIA DE SOUZA CARVALHO;BOITUVA;VEREADOR;PODE;Veículo automotor terrestre: caminhão, automóvel, moto, etc.;Veiculo fiat Ducato ;60000,00
250001931861;SERGIO ANTONIO DA SILVA;BOITUVA;VEREADOR;PP;Veículo automotor terrestre: caminhão, automóvel, moto, etc.;moto;15000,00
250001931861;SERGIO ANTONIO DA SILVA;BOITUVA;VEREADOR;PP;Veículo automotor terrestre: caminhão, automóvel, moto, etc.;carro;53000,00
250001931570;CELSO SCOMPARIM;BOITUVA;VEREADOR;CIDADANIA;Veículo automotor terrestre: caminhão, automóvel, moto, etc.;moto;4500,00
250001931570;CELSO SCOMPARIM;BOITUVA;VEREADOR;CIDADANIA;Depósito bancário em conta corrente no País;numerario depositado banco santander;11591,00
250001931570;CELSO SCOMPARIM;BOITUVA;VEREADOR;CIDADANIA;Casa;imovel residencial ;50000,00
250001931718;EDVANEIDE LOPES NASCIMENTO;BOITUVA;VEREADOR;REPUBLICANOS;Veículo automotor terrestre: caminhão, automóvel, moto, etc.;HONDA BIZ 2003;6353,00
250002140568;TIAGO DE CASTRO SOUZA;BOITUVA;PREFEITO;MDB;Outras participações societárias;Proprietario da academia Fit Brasil;200000,00
250002140568;TIAGO DE CASTRO SOUZA;BOITUVA;PREFEITO;MDB;Outras aplicações e Investimentos;Aplicação financeira;20000,00
250002140568;TIAGO DE CASTRO SOUZA;BOITUVA;PREFEITO;MDB;Veículo automotor terrestre: caminhão, automóvel, moto, etc.;Veiculo Renault Logan;20000,00
250002139319;TAIS DA SILVA MELLO;BOITUVA;VEREADOR;MDB;Outras participações societárias;Empresa HB Centro de Formação Profissional Ltda ME;30000,00
250002130880;JUVERSI DOS SANTOS SILVA;BOITUVA;VEREADOR;PSB;Veículo automotor terrestre: caminhão, automóvel, moto, etc.;Parati - 1995;18500,00
250002130878;REGINALDO APARECIDO GUILHERME;BOITUVA;VEREADOR;PSB;Depósito bancário em conta corrente no País;Saldo em conta - Bradesco;3500,00
